client,method,latency(ms)
trade-client,trade,6.860415999994984
trade-client,trade,0.5340000000160217
trade-client,trade,0.35879199998589684
trade-client,trade,0.44879199998604236
trade-client,trade,0.4186250000088876
trade-client,trade,0.44579199999361663
trade-client,trade,0.32629200001110803
trade-client,trade,0.3467500000056134
trade-client,trade,0.38137499996082624
trade-client,trade,0.4739170000220838
trade-client,trade,0.5824579999966772
trade-client,trade,0.36758400000280744
trade-client,trade,0.44879199998604236
trade-client,trade,0.3821660000085103
trade-client,trade,0.309332999961498
trade-client,trade,0.3540419999694677
trade-client,trade,0.2913330000069436
trade-client,trade,0.4520409999599906
trade-client,trade,0.4752080000116621
trade-client,trade,0.5562499999882675
trade-client,trade,0.5984580000131245
trade-client,trade,0.3983749999747488
trade-client,trade,0.44791699997404066
trade-client,trade,0.41049999998676867
trade-client,trade,0.4446250000000873
trade-client,trade,0.37595899999587346
trade-client,trade,0.42958299997053473
trade-client,trade,0.3925409999965268
trade-client,trade,0.3407080000101814
trade-client,trade,0.45462499997483974
trade-client,trade,0.5287080000471178
trade-client,trade,0.4114590000199314
trade-client,trade,0.5215410000118936
trade-client,trade,0.5756250000104046
trade-client,trade,1.1466249999898537
trade-client,trade,2.094208000016806
trade-client,trade,0.9882500000344407
trade-client,trade,0.7348750000346627
trade-client,trade,1.0066670000128397
trade-client,trade,0.6679580000081842
trade-client,trade,1.4915830000177266
trade-client,trade,0.7194159999812655
trade-client,trade,1.3572500000123
trade-client,trade,1.0702079999873604
trade-client,trade,1.7767079999657653
trade-client,trade,2.7817919999506557
trade-client,trade,0.8350829999699272
trade-client,trade,1.24204200000122
trade-client,trade,0.43454199999359844
trade-client,trade,0.5616660000100637
trade-client,trade,0.5797090000214666
trade-client,trade,1.0738330000208407
trade-client,trade,0.8527080000249043
trade-client,trade,0.9701660000018819
trade-client,trade,0.5031249999660758
trade-client,trade,0.9112079999908929
trade-client,trade,1.0526670000103877
trade-client,trade,2.168666000045505
trade-client,trade,1.1727090000022145
trade-client,trade,1.4832919999889782
trade-client,trade,0.8039580000058777
trade-client,trade,0.6857910000235279
trade-client,trade,0.7772499999987303
trade-client,trade,1.099875000022621
trade-client,trade,1.337458999955743
trade-client,trade,3.837625000016942
trade-client,trade,1.8338749999884385
trade-client,trade,3.2017089999953896
trade-client,trade,1.9894580000254791
trade-client,trade,1.152292000028865
trade-client,trade,0.9719590000258904
trade-client,trade,0.8102500000291002
trade-client,trade,0.7942500000126529
trade-client,trade,1.3368749999926877
trade-client,trade,0.9590839999873424
trade-client,trade,0.781832999962262
trade-client,trade,1.6195830000356182
trade-client,trade,1.2274590000060925
trade-client,trade,1.3945420000140984
trade-client,trade,0.960291000012603
trade-client,trade,0.5382499999768697
trade-client,trade,0.40770800001155294
trade-client,trade,0.8544169999709084
trade-client,trade,5.28954200001408
trade-client,trade,0.5720000000337677
trade-client,trade,0.892667000016445
trade-client,trade,0.8862500000077489
trade-client,trade,0.8302090000142925
trade-client,trade,0.923833999991075
trade-client,trade,1.1120830000095339
trade-client,trade,0.7470420000004196
trade-client,trade,0.8677919999513506
trade-client,trade,1.0111660000120537
trade-client,trade,1.562082999953418
trade-client,trade,3.0289160000052107
trade-client,trade,1.5004580000095302
trade-client,trade,1.429874999985259
trade-client,trade,0.937000000021726
trade-client,trade,0.6583330000466958
trade-client,trade,1.5366249999715365
trade-client,trade,1.9189999999866814
trade-client,trade,0.6563339999843265
trade-client,trade,0.5811669999502556
trade-client,trade,1.428665999981149
trade-client,trade,0.9772089999842137
trade-client,trade,1.0149170000204322
trade-client,trade,0.8899169999949663
trade-client,trade,0.851417000035326
trade-client,trade,1.0254580000150781
trade-client,trade,1.1787079999976413
trade-client,trade,2.1098749999737265
trade-client,trade,1.4633750000143664
trade-client,trade,0.9668750000173532
trade-client,trade,1.2229999999817665
trade-client,trade,0.903290999985984
trade-client,trade,1.3267090000113058
trade-client,trade,0.8600829999636517
trade-client,trade,1.3635409999892545
trade-client,trade,0.9053750000020955
trade-client,trade,0.7041250000270338
trade-client,trade,0.6701249999991887
trade-client,trade,1.3667499999883148
trade-client,trade,0.911750000000211
trade-client,trade,0.8527080000249043
trade-client,trade,0.5965839999930722
trade-client,trade,1.3079160000302181
trade-client,trade,1.4733329999785383
trade-client,trade,1.4050000000338514
trade-client,trade,1.059917000020505
trade-client,trade,1.162458000010247
trade-client,trade,0.7680830000253991
trade-client,trade,1.7644589999576965
trade-client,trade,4.705624999985503
trade-client,trade,1.1962909999851945
trade-client,trade,2.0030000000019754
trade-client,trade,1.0383750000073633
trade-client,trade,1.0638329999892449
trade-client,trade,1.1053750000087348
trade-client,trade,1.307291000046007
trade-client,trade,2.2430419999750484
trade-client,trade,1.2693749999925785
trade-client,trade,0.7981249999602369
trade-client,trade,1.4615829999797825
trade-client,trade,1.1617920000048798
trade-client,trade,2.1339170000373997
trade-client,trade,2.085916999988058
trade-client,trade,1.101709000010942
trade-client,trade,1.156207999997605
trade-client,trade,1.3529999999946085
trade-client,trade,1.2693330000388414
trade-client,trade,1.9810000000006767
trade-client,trade,1.118667000014284
trade-client,trade,1.7479169999887745
trade-client,trade,1.5587919999688893
trade-client,trade,1.0448749999909523
trade-client,trade,0.9295830000155547
trade-client,trade,0.8949159999929179
trade-client,trade,1.913750000028358
trade-client,trade,1.3395839999930104
trade-client,trade,0.9247909999885451
trade-client,trade,1.3876250000066648
trade-client,trade,1.8872500000384207
trade-client,trade,1.6534580000211463
trade-client,trade,0.7780839999895761
trade-client,trade,1.1380830000007336
trade-client,trade,1.0542499999814936
trade-client,trade,0.9480420000045342
trade-client,trade,0.8070000000088839
trade-client,trade,2.4853749999920183
trade-client,trade,0.727457999971648
trade-client,trade,1.1144999999714855
trade-client,trade,1.0360410000203046
trade-client,trade,1.175082999964161
trade-client,trade,1.4069580000182214
trade-client,trade,0.7837910000034753
trade-client,trade,0.8427919999576261
trade-client,trade,0.6422920000090926
trade-client,trade,1.068875000044045
trade-client,trade,1.8176659999653566
trade-client,trade,0.9854580000023816
trade-client,trade,1.657832999967468
trade-client,trade,2.11820900000248
trade-client,trade,1.5019589999951677
trade-client,trade,1.018082999962644
trade-client,trade,1.0464169999977457
trade-client,trade,2.7276659999984076
trade-client,trade,0.7675410000160809
trade-client,trade,0.8032090000256176
trade-client,trade,0.8895000000279651
trade-client,trade,0.7091670000249906
trade-client,trade,2.5774580000188507
trade-client,trade,1.0217079999961243
trade-client,trade,1.4027080000005299
trade-client,trade,0.786291999986588
trade-client,trade,1.3295410000182528
trade-client,trade,1.1264159999768708
trade-client,trade,1.062417000014193
trade-client,trade,1.5451250000069194
trade-client,trade,1.6586660000257325
trade-client,trade,2.0480830000337846
trade-client,trade,1.2806249999925967
trade-client,trade,1.2465830000110145
trade-client,trade,1.0333330000094065
trade-client,trade,1.0199160000183838
trade-client,trade,0.9369169999899896
trade-client,trade,0.922166999998808
trade-client,trade,1.2422499999615866
trade-client,trade,1.0178750000022774
trade-client,trade,0.7242909999831681
trade-client,trade,1.30520800001932
trade-client,trade,0.8260419999714941
trade-client,trade,1.1827089999769669
trade-client,trade,1.1321250000264627
trade-client,trade,0.9071250000260989
trade-client,trade,1.2776670000107515
trade-client,trade,0.6669580000107089
trade-client,trade,0.660709000044335
trade-client,trade,0.7597500000429136
trade-client,trade,0.5864579999865782
trade-client,trade,0.7426249999866741
trade-client,trade,2.1810420000178965
trade-client,trade,0.5663750000053369
trade-client,trade,0.9902909999937037
trade-client,trade,1.550041000029978
trade-client,trade,3.5795420000113154
trade-client,trade,1.9916669999702208
trade-client,trade,0.9570830000029673
trade-client,trade,0.6302090000076532
trade-client,trade,2.4095420000094236
trade-client,trade,2.0527089999973214
trade-client,trade,1.164791000007881
trade-client,trade,2.032374999998865
trade-client,trade,1.2851249999812353
trade-client,trade,1.2616249999837237
trade-client,trade,0.8231250000108048
trade-client,trade,2.1284999999693355
trade-client,trade,1.1549580000291826
trade-client,trade,2.009624999971038
trade-client,trade,1.9267089999743803
trade-client,trade,1.9246670000256927
trade-client,trade,1.2261250000165091
trade-client,trade,1.3032090000137941
trade-client,trade,1.1326250000252003
trade-client,trade,2.271625000048516
trade-client,trade,3.314457999977094
trade-client,trade,1.7541670000014165
trade-client,trade,1.5709169999809092
trade-client,trade,1.6712089999941782
trade-client,trade,7.1956250000084765
trade-client,trade,1.8368329999702837
trade-client,trade,2.5295000000369328
